=,1_1,1_2,1_3,1_4,1_5,1_6,2_1,2_2,2_3,2_4,2_5,2_6,3_1,3_2,3_3,3_4,3_5,3_6,4_1,4_2,4_3,4_4,4_5,4_6
0.8523386165,0.825685988,0.4486343363,0.2608988833,0.1243849041,0.0099994147,0,0.3727745735,0.2460204332,0.0772848407,0.1256579265,0.1023280216,0.1161633006,0.2109415917,0.3675145154,0.1470340955,0.143639369,0.1555032312,0.0252394386,0.229815918,0.2885075582,0.3217475894,0.1106203486,0.2299396841,0.2203566538
0.8436426527,0.8187214487,0.4684634294,0.2684486138,0.1347547329,0.0177860688,0,0.335635911,0.2465596997,0.0991543059,0.1798851477,0.1159246089,0.1538147083,0.2449419003,0.3412319056,0.1722646937,0.1409695579,0.1752527603,0.0432686194,0.2363136368,0.3505055207,0.3181053307,0.1166583649,0.2308325679,0.245383922
0.8627498338,0.8359355689,0.4726891567,0.2752822692,0.1455931048,0.0342920428,0,0.3112893562,0.2499190645,0.1160748963,0.2158833943,0.1456107857,0.1832356721,0.269429902,0.3106705258,0.1809459997,0.1325711458,0.2047002455,0.0684152334,0.2406896516,0.3966349044,0.3175572238,0.1223692851,0.2360130621,0.2680419539
0.8632804913,0.8355432891,0.4894506193,0.2998409944,0.1681892537,0.0573001559,8.02711392235757E-06,0.2847150121,0.2563460599,0.1384146726,0.2705437967,0.1665626139,0.220993165,0.2910447627,0.303766147,0.1928982663,0.1321733263,0.2337941132,0.1079240163,0.2479653286,0.4309534686,0.3344159311,0.1369383201,0.2502903627,0.2992486853
0.8437088223,0.8256365794,0.5151586009,0.325407529,0.1798674668,0.0720265506,0.0022151475,0.265089249,0.2705614775,0.160330108,0.3329837808,0.2139915414,0.2269339365,0.3191396615,0.2925741578,0.2120024438,0.1337292426,0.2716134892,0.1783911144,0.2521380134,0.4769590863,0.3361486561,0.1595786712,0.2699868493,0.3386239776
0.840784796,0.8240363628,0.5294270611,0.3384206476,0.1990954104,0.0889259239,0.0213187062,0.2275262456,0.2749463327,0.1711154373,0.3675233558,0.2207633137,0.2381612875,0.3514426067,0.2758215357,0.2386209901,0.1397318972,0.3227023563,0.2287462255,0.2495566067,0.5086697224,0.3369089335,0.1776219966,0.2709858184,0.3654104921
0.8350405484,0.824076466,0.5316725313,0.3409666926,0.1938883949,0.1017710743,0.0439643615,0.1884515281,0.2697481576,0.1475998833,0.4125034832,0.2124798272,0.2350848165,0.3560042705,0.2523413434,0.2428909196,0.135957032,0.3463328359,0.2800561035,0.2403625555,0.5168648046,0.3240903044,0.1862679409,0.2693149764,0.3669752489
0.8473317324,0.8386465822,0.5522707421,0.3660912055,0.2156005004,0.1238279567,0.0650576366,0.1648475697,0.2856167363,0.1754560903,0.4788244178,0.2225579218,0.2456933371,0.3868308633,0.2331133998,0.2669192188,0.1408015897,0.3983941508,0.32481522,0.2478238817,0.543669,0.3334611643,0.2098807397,0.2788184427,0.403309432
0.9071794175,0.8929094853,0.5856080181,0.3962636062,0.2385060644,0.1401208763,0.0872382851,0.148041905,0.2955003414,0.1855783871,0.5639754765,0.2491411063,0.2623045123,0.4262591982,0.2316547282,0.3027848589,0.1462472969,0.4575896957,0.3982261825,0.2520230878,0.5840874635,0.3472168793,0.229550705,0.3095477907,0.435302962
0.847258103,0.8402512785,0.566512681,0.4022043778,0.2427848344,0.1568204558,0.1104965825,0.1301400265,0.2989481106,0.2054340015,0.6282807922,0.2687757099,0.2643289717,0.4773569058,0.214451244,0.3093709821,0.1423221443,0.5072994552,0.4561752263,0.2720466704,0.6256905451,0.3535908321,0.2376043402,0.3188302463,0.4556005981
